cbsacode,user_id,lat_home,lon_home,tract_home
12420,0,30.036733757629186,-98.26856750244113,14000US48209010803
12420,1,30.170873671052057,-98.24461937230365,14000US48209010807
12420,2,30.088194385410105,-98.2422502030241,14000US48209010803
12420,3,30.097967925589206,-98.24183171742942,14000US48209010803
12420,4,30.130054275131975,-98.2348926590095,14000US48209010807
12420,5,30.123484938444452,-98.2318322911902,14000US48209010807
12420,6,30.137749243069155,-98.22963737967697,14000US48209010807
12420,7,30.07445500245426,-98.180826410366,14000US48209010803
12420,8,30.260881304562485,-98.17413366775139,14000US48209010808
12420,9,30.03978105834189,-98.17141519404214,14000US48209010804
12420,10,30.30485711901423,-98.17046118569007,14000US48209010808
12420,11,30.35510107288463,-98.16815753520906,14000US48453001768
12420,12,30.26284740909321,-98.16646326572922,14000US48209010808
12420,13,30.143025364329937,-98.1639462294838,14000US48209010807
12420,14,30.311614921730538,-98.15936798950656,14000US48209010808
12420,15,30.156011952800682,-98.1584684531727,14000US48209010807
12420,16,30.026948093445366,-98.15680558101282,14000US48209010804
12420,17,29.968204307690865,-98.15232965691733,14000US48209010803
12420,18,30.266717782854332,-98.15056509583516,14000US48209010808
12420,19,30.111230925024167,-98.14516249886927,14000US48209010807
12420,20,29.962575722350323,-98.14249028688974,14000US48209010803
12420,21,30.350204424449622,-98.14004420617441,14000US48453001768
12420,22,30.06739101280122,-98.1321918646187,14000US48209010803
12420,23,30.03217169599031,-98.13074526524008,14000US48209010804
12420,24,30.360085285793378,-98.12985778380663,14000US48453001768
12420,25,30.397987759354073,-98.12977199346949,14000US48453001768
12420,26,30.265452714935968,-98.1268789224812,14000US48209010808
12420,27,30.348389779515912,-98.12629633593309,14000US48453001768
12420,28,30.02075701774918,-98.12340749491064,14000US48209010804
12420,29,29.945351420740632,-98.11967566277013,14000US48209010803
12420,30,30.322123546708593,-98.11961898960075,14000US48453001768
12420,31,30.226980505504958,-98.11732875202344,14000US48209010808
12420,32,30.326710977529554,-98.11551327287224,14000US48453001768
12420,33,30.501338672243968,-98.11462616707317,14000US48453001766
12420,34,30.320079806563033,-98.112829012706,14000US48453001768
12420,35,30.156541472032032,-98.10742593593561,14000US48209010807
12420,36,30.19042191599733,-98.10577236079239,14000US48209010807
12420,37,29.937119408439766,-98.10368552186387,14000US48209010600
12420,38,30.419801050706415,-98.1029661736132,14000US48453001764
12420,39,30.07974807347192,-98.0997012825444,14000US48209010807
12420,40,30.079954469167507,-98.09350050882611,14000US48209010804
12420,41,30.243718615037984,-98.09227860851294,14000US48209010808
12420,42,30.201354033128283,-98.09040492084382,14000US48209010808
12420,43,30.27378268454235,-98.08803136773145,14000US48209010808
12420,44,29.91695373862978,-98.0871357070795,14000US48209010600
12420,45,30.00039271719161,-98.0869110818001,14000US48209010804
12420,46,30.20064753833398,-98.07741832970207,14000US48209010809
